mode,n,block_size,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
naive,5000,32,0,frame_wall,5000,0.724360,0.676600,0.880700,0.236724,0.668000,5.871600
naive,5000,32,0,frame_wall,5000,0.709462,0.675100,0.880900,0.079736,0.662600,1.123100
naive,5000,32,0,frame_wall,5000,0.706812,0.674500,0.874000,0.078980,0.662400,1.054400
naive,5000,64,0,frame_wall,5000,0.703387,0.668200,0.869600,0.080255,0.662600,1.119000
naive,5000,64,0,frame_wall,5000,0.703915,0.668000,0.882200,0.079259,0.662600,1.104100
naive,5000,64,0,frame_wall,5000,0.703025,0.668300,0.870200,0.079997,0.663000,1.125000
naive,5000,128,0,frame_wall,5000,0.738658,0.690200,0.951000,0.092642,0.684000,1.393400
naive,5000,128,0,frame_wall,5000,0.742440,0.691900,0.989100,0.114286,0.686400,3.399700
naive,5000,128,0,frame_wall,5000,0.724553,0.690400,0.888000,0.078403,0.686400,1.267200
naive,5000,256,0,frame_wall,5000,0.731335,0.696900,0.893600,0.077656,0.693100,1.108600
naive,5000,256,0,frame_wall,5000,0.735697,0.698300,0.895000,0.077482,0.693500,1.206700
naive,5000,256,0,frame_wall,5000,0.733934,0.697750,0.908900,0.078831,0.693500,1.184000
naive,5000,512,0,frame_wall,5000,0.781743,0.733600,0.926100,0.222958,0.730500,6.665200
naive,5000,512,0,frame_wall,5000,0.773190,0.733700,0.926500,0.079206,0.730500,1.208300
naive,5000,512,0,frame_wall,5000,0.782716,0.736200,0.973400,0.117224,0.730200,4.872600
naive,5000,1024,0,frame_wall,5000,1.071604,1.023800,1.219900,0.083538,1.018600,1.721600
naive,5000,1024,0,frame_wall,5000,1.072254,1.026200,1.227900,0.085584,1.019400,1.459200
naive,5000,1024,0,frame_wall,5000,1.077820,1.026600,1.231200,0.086321,1.023400,1.483900
naive,100000,32,0,frame_wall,1000,53.959866,55.763100,57.437801,4.810617,42.278500,63.582001
naive,100000,32,0,frame_wall,1000,43.614124,43.276649,48.130501,1.601276,42.476299,52.295399
naive,100000,32,0,frame_wall,1000,43.670132,43.286301,48.083401,1.604460,42.480701,51.955200
naive,100000,64,0,frame_wall,1000,36.955292,35.837299,41.605099,2.957319,32.540501,42.665001
naive,100000,64,0,frame_wall,1000,35.283600,35.271248,36.314899,0.895218,32.692001,40.667400
naive,100000,64,0,frame_wall,1000,35.038292,35.045898,36.318802,1.006757,32.685799,40.422199
naive,100000,128,0,frame_wall,1000,32.800678,32.927452,33.478600,0.450680,31.434999,34.558701
naive,100000,128,0,frame_wall,1000,35.088467,34.612450,38.411301,2.967918,33.210201,115.176201
naive,100000,128,0,frame_wall,1000,32.801136,32.929951,33.404598,0.481262,31.422800,37.404099
naive,100000,256,0,frame_wall,1000,32.794281,32.710850,33.797600,0.562573,31.490299,36.908100
naive,100000,256,0,frame_wall,1000,31.375135,31.472401,32.143002,0.613103,30.197201,33.192600
naive,100000,256,0,frame_wall,1000,31.420580,31.505650,32.198799,0.627183,30.194099,34.130901
