mode,n,block_size,cell_width_scale,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
scattered,5000,128,2.000000,0,total,5000,0.251675,0.231424,0.345088,0.082537,0.153600,0.937984
scattered,5000,128,2.000000,0,total,5000,0.268162,0.234496,0.531424,0.107065,0.147456,1.450944
scattered,5000,128,2.000000,0,total,5000,0.245442,0.223232,0.372736,0.081687,0.137216,1.093632
scattered,5000,128,2.000000,0,total,5000,0.345126,0.312320,0.555008,0.107333,0.202752,1.131584
scattered,5000,128,2.000000,0,scattered/compute_indices,5000,0.016289,0.010272,0.032768,0.019762,0.003072,0.449536
scattered,5000,128,2.000000,0,scattered/sort,5000,0.154113,0.135168,0.270336,0.075572,0.082016,0.826368
scattered,5000,128,2.000000,0,scattered/reset_cells,5000,0.016612,0.010240,0.036864,0.023014,0.003072,0.476160
scattered,5000,128,2.000000,0,scattered/identify_cells,5000,0.014241,0.010144,0.035712,0.018803,0.003072,0.437248
scattered,5000,128,2.000000,0,scattered/neighbor_search,5000,0.084742,0.089088,0.113536,0.024560,0.027648,0.531456
scattered,5000,128,2.000000,0,scattered/update_pos,5000,0.005620,0.004096,0.005120,0.016636,0.003072,0.449536
scattered,5000,128,2.000000,0,total,5000,0.334609,0.301984,0.553984,0.116059,0.202752,1.580960
scattered,5000,128,2.000000,0,scattered/compute_indices,5000,0.015236,0.010240,0.033792,0.017956,0.004096,0.441344
scattered,5000,128,2.000000,0,scattered/sort,5000,0.147532,0.121952,0.316416,0.081821,0.088256,0.978944
scattered,5000,128,2.000000,0,scattered/reset_cells,5000,0.015700,0.010176,0.036864,0.022371,0.003072,0.467968
scattered,5000,128,2.000000,0,scattered/identify_cells,5000,0.013555,0.009472,0.034816,0.019245,0.004000,0.448416
scattered,5000,128,2.000000,0,scattered/neighbor_search,5000,0.084022,0.089088,0.106496,0.024050,0.026624,0.770048
scattered,5000,128,2.000000,0,scattered/update_pos,5000,0.005636,0.004096,0.005120,0.018200,0.003072,0.470016
scattered,5000,128,2.000000,0,total,5000,0.344815,0.324608,0.561152,0.106584,0.203776,1.249184
scattered,5000,128,2.000000,0,scattered/compute_indices,5000,0.019931,0.011264,0.038912,0.020280,0.003072,0.524288
scattered,5000,128,2.000000,0,scattered/sort,5000,0.154374,0.128000,0.315392,0.081841,0.081152,0.854016
scattered,5000,128,2.000000,0,scattered/reset_cells,5000,0.015458,0.010240,0.037888,0.023102,0.003072,0.463872
scattered,5000,128,2.000000,0,scattered/identify_cells,5000,0.016615,0.010240,0.038912,0.020103,0.003072,0.440320
scattered,5000,128,2.000000,0,scattered/neighbor_search,5000,0.084817,0.089088,0.108544,0.025939,0.027648,0.615232
scattered,5000,128,2.000000,0,scattered/update_pos,5000,0.005734,0.004096,0.005120,0.018088,0.003072,0.555008
scattered,20000,128,2.000000,0,total,5000,0.298848,0.277504,0.425984,0.073256,0.192512,0.883712
