mode,n,block_size,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
naive,1000,128,0,frame_wall,5000,0.168853,0.152800,0.231200,0.079185,0.145900,3.411200
naive,1000,128,1,frame_wall,5000,0.674902,0.649450,0.902500,0.118217,0.533600,1.562000
naive,1000,128,0,total,5000,0.145297,0.143296,0.153600,0.015663,0.139264,0.581632
naive,1000,128,0,frame_wall,5000,0.163802,0.146200,0.251400,0.065387,0.145500,0.603800
naive,1000,128,1,frame_wall,5000,0.692205,0.658700,0.980700,0.149082,0.529700,2.773300
naive,1000,128,0,total,5000,0.144457,0.140128,0.167936,0.013308,0.139168,0.491520
naive,1000,128,0,frame_wall,5000,0.173276,0.151500,0.247400,0.064087,0.150400,0.738900
naive,1000,128,1,frame_wall,5000,0.724510,0.660000,1.167000,0.201321,0.531400,2.698100
naive,1000,128,0,total,5000,0.144238,0.139264,0.172032,0.015936,0.138208,0.472896
naive,2000,128,0,frame_wall,5000,0.293932,0.281600,0.312600,0.056905,0.279600,0.735600
naive,2000,128,1,frame_wall,5000,0.843140,0.792250,1.209100,0.190964,0.665200,4.569600
naive,2000,128,0,total,5000,0.278949,0.274432,0.304864,0.016149,0.272384,0.750528
naive,2000,128,0,frame_wall,5000,0.314420,0.289300,0.481800,0.088565,0.280700,4.084000
naive,2000,128,1,frame_wall,5000,0.899764,0.812200,1.371800,0.202844,0.661000,2.147500
naive,2000,128,0,total,5000,0.281835,0.278432,0.310272,0.023966,0.272384,1.324000
naive,2000,128,0,frame_wall,5000,0.324250,0.284000,0.591300,0.144024,0.280500,4.719300
naive,2000,128,1,frame_wall,5000,0.897577,0.812150,1.345700,0.213248,0.671200,2.474700
naive,2000,128,0,total,5000,0.279015,0.275456,0.287744,0.018917,0.272384,0.925696
naive,5000,128,0,frame_wall,5000,0.769727,0.721500,1.106800,0.149108,0.688400,4.265500
naive,5000,128,1,frame_wall,5000,1.269482,1.209600,1.665000,0.203005,1.075500,2.944700
naive,5000,128,0,total,5000,0.703683,0.684032,0.733184,0.074812,0.678816,1.266560
naive,5000,128,0,frame_wall,5000,0.757894,0.696300,1.090800,0.132611,0.691000,1.471400
naive,5000,128,1,frame_wall,5000,1.411880,1.283450,2.015100,0.304041,1.086800,3.206200
naive,5000,128,0,total,5000,0.713395,0.687104,1.015584,0.091751,0.677888,1.430528
naive,5000,128,0,frame_wall,5000,0.733451,0.697600,1.030100,0.121166,0.688200,3.365300
naive,5000,128,1,frame_wall,5000,1.327181,1.224000,1.877400,0.288216,1.090300,6.109100
naive,5000,128,0,total,5000,0.713428,0.687104,1.016832,0.092120,0.681984,1.250304
naive,10000,128,0,frame_wall,5000,1.409434,1.384500,1.430600,0.106061,1.378700,4.499500
naive,10000,128,1,frame_wall,5000,2.238251,2.175850,2.638600,0.233904,1.852100,5.997800
